Release_Date,Production_Budget,Worldwide_Gross
1994-10-14,8000000,212928762
1994-10-14,8000000,18090181
1994-10-14,700000,11768371
1994-10-19,27000,3894240
1994-10-21,20000000,13383747
1994-10-28,55000000,196565669
1994-11-03,40000000,14938149
1994-11-09,20000000,305070
1994-11-11,50000000,223564608
1994-11-11,22000000,189800000
1994-11-16,5000000,5438120
1994-11-18,38000000,120000000
1994-11-18,16000000,45284974
1994-11-23,10000000,29317886
1994-12-16,16000000,246400000
1994-12-21,40000000,38087756
1994-12-21,15000000,50003303
1994-12-23,35000000,99423000
1994-12-23,30000000,160502573
1994-12-25,27000000,44342956
1994-12-31,10500000,125169
1995-01-03,25000000,4064333
1995-01-07,13700000,56598476
1995-01-12,15000000,529766
1995-01-13,12000000,21089146
1995-01-27,26000000,13738574
1995-01-27,2500000,5683371
1995-02-06,22000000,175516617
1995-03-02,4000000,7555256
1995-03-11,50000000,26097497
1995-03-11,20000000,22119269
1995-03-31,14000000,2461628
1995-04-08,30000000,246100000
1995-04-08,30000000,23998226
1995-04-21,40000000,14942422
1995-04-26,3500000,27936778
1995-05-19,90000000,366101666
1995-05-24,72000000,209045522
1995-05-24,6000000,11784569
1995-05-26,55000000,282300000
1995-06-10,50000000,83306268
1995-06-16,100000000,336529144
1995-06-16,250000,2477155
1995-06-30,85000000,113487912
1995-06-30,65000000,334100000
1995-07-04,28000000,31390587
1995-07-04,25000000,22032635
1995-07-04,23000000,141247413
1995-07-07,75000000,127361412
1995-07-07,35000000,113354449
1995-07-14,60000000,104324083
1995-07-14,45000000,35627222
1995-07-21,1500000,20412216
1995-07-28,175000000,264246220
1995-07-28,22000000,110521733
1995-08-16,6000000,34449356
1995-08-18,20000000,122133227
1995-08-25,24000000,669276
1995-08-25,7000000,25532388
1995-09-06,50000000,152022333
1995-09-08,50000,10426506
1995-09-22,40000000,37750754
1995-09-22,30000000,328125643
1995-09-27,20000000,27688744
1995-09-29,5000000,15126948
1995-10-02,32000000,18552460
1995-10-03,50000000,67823573
1995-10-06,55000000,347100000
1995-10-11,30000000,212400000
1995-10-13,50000000,10359006
1995-10-13,50000000,9812870
1995-10-20,30250000,115021008
1995-10-20,6100000,2108367
1995-10-27,20000000,32051917
1995-10-27,14000000,19637147
1995-10-27,4000000,49800000
1995-11-12,16500000,134993774
1995-11-17,62000000,107822813
1995-11-17,60000000,356429941
1995-11-22,68000000,77224232
1995-11-22,52000000,110400000
1995-11-22,30000000,364545516
1995-12-05,55000000,159387195
1995-12-05,11000000,2794056
1995-12-14,11000000,2844379
1995-12-15,65000000,262758310
1995-12-15,58000000,87100000
1995-12-20,45000000,34668249
1995-12-22,92000000,18517322
1995-12-25,4000000,4301000
1995-12-27,29000000,168841459
1995-12-29,31000000,106282604
1995-12-29,18000000,4100000
1995-12-29,11000000,83088295
1995-12-29,9200000,4199334
1996-01-03,60000000,100645801
1996-01-04,10000,527
1996-01-11,14500000,147542381
1996-01-11,12500000,1412799
1996-01-19,20000000,25732986
1996-02-02,44000000,22730924
1996-02-02,38000000,10229300
1996-02-07,75000000,817400878
1996-02-08,55000000,60209334
1996-02-08,5900000,37831658
1996-02-16,40000000,20278055
1996-02-16,10000000,41004412
1996-02-21,5000000,407488
1996-02-23,47000000,12900000
1996-02-23,18000000,2483790
1996-02-23,7500000,36238752
1996-03-04,8000000,34873513
1996-03-05,15000000,55669466
1996-03-05,8000000,5656388
1996-03-15,55000000,122079192
1996-03-22,12000000,4880941
1996-03-22,7000000,16149180
1996-03-29,39000000,37956589
1996-04-10,45000000,36404841
1996-04-10,10000000,3357324
1996-04-10,4500000,7011317
1996-04-10,2500000,34557416
1996-04-19,35000000,1320043
1996-04-19,25000000,10039566
1996-05-04,13000000,2104439
1996-05-07,32000000,152036382
1996-05-17,25530000,30593313
1996-05-21,80000000,457697994
1996-05-24,18000000,26936265
1996-05-31,57000000,104364680
1996-06-09,32000000,4357406
1996-06-11,9000000,36049108
1996-06-12,80000000,158908290
1996-06-12,20000000,34600000
1996-06-14,47000000,102825796
1996-06-21,100000000,234400000
1996-06-21,100000000,325500000
1996-06-21,5000000,12961389
1996-06-28,55000000,273814019
1996-06-28,50000000,113309743
1996-07-06,75000000,336069511
1996-07-06,45000000,17220599
1996-07-17,45000000,20133326
1996-07-17,1000000,1615787
1996-07-19,30000000,19892205
1996-07-19,3100000,71558971
1996-07-24,40000000,152266007
1996-07-26,25000000,32223424
1996-07-26,25000000,36682170
1996-07-26,2000000,304602
1996-08-03,7000000,51204567
1996-08-11,70000000,308700000
1996-08-16,55000000,18582965
1996-08-16,45000000,75854588
1996-08-16,19000000,1353824
1996-08-23,40000000,27682712
1996-08-23,3500000,13795053
1996-08-23,3000000,295493
1996-09-02,65000000,148345997
1996-09-08,50000000,25426861
1996-09-08,45000000,58617334
1996-09-08,3000000,2962051
1996-09-13,25000000,51702929
1996-09-20,67000000,18115927
1996-09-20,30000000,181489203
1996-09-20,300000,2525984
1996-09-27,38000000,17378193
1996-09-28,4500000,13417292
1996-10-05,88000000,495700000
1996-10-05,800000,5034794
1996-10-07,13000000,26570048
1996-10-16,2400000,5691854
1996-10-18,44000000,165600852
1996-10-18,200000,6618578
1996-10-25,14000000,15171475
1996-11-10,65000000,33447612
1996-11-10,55000000,38564422
1996-11-10,25000000,27572844
1996-11-10,1300000,749741
1996-11-15,80000000,250200000
1996-11-15,42000000,41267469
1996-11-15,35000000,231711151
1996-11-20,4833610,34175000
1996-11-22,60000000,129832389
1996-11-22,46000000,150000000
1996-11-22,5500000,36665191
1996-12-01,20000000,26792700
1996-12-07,46000000,100833145
1996-12-07,7000000,98754000
1996-12-13,80000000,101371017
1996-12-13,50000000,274000000
1996-12-20,36000000,13052741
1996-12-20,23000000,12803305
1996-12-20,21500000,22331846
1996-12-20,15000000,173046663
1996-12-20,12000000,63118386
1996-12-25,55000000,151947179
1996-12-25,18000000,7129670
1996-12-31,15000000,76382
1997-01-07,90000000,587790539
1997-01-08,3000000,27788649
1997-01-08,25000,2883661
1997-01-17,5000000,353480
1997-01-24,8000000,590817
1997-01-31,45000000,2154540
1997-01-31,4000000,2922988
1997-02-05,36000000,50159144
1997-02-05,35000000,6448817
1997-02-05,18000000,67683989
1997-02-14,50000000,50068310
1997-02-21,26000000,1083350
